ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B860093,19826.0,11282.0,19832.0,11282.0,88453.37563971341,40847.68918918919,101553.0,101556.0,25824.82152974504,158798.88888888888,161282.0,164939.0476556495,156232.0,129456.0,160251.0,108589.0,161282.0,161282.0,131529.15887850468,149220.31196581197,131526.82866043615,149220.31196581197,161282.0,161282.0,,,
B1B860094,23379.0,10428.0,23381.0,10428.0,96565.47594677586,39050.96959459459,102128.0,102128.0,30340.365439093483,176767.88888888888,160428.0,164065.6833205227,159972.0,124896.0,162530.0,121833.0,160428.0,160428.0,148996.47352024924,148430.1794871795,148996.47352024924,148430.1794871795,160428.0,160428.0,,,
B1B860095,21557.0,10251.0,21561.0,10251.0,99781.41658137155,42921.96283783784,102372.0,102372.0,32170.31161473088,176572.86111111112,160251.0,163884.6698693313,158173.0,158173.0,157086.0,157086.0,160251.0,160251.0,154365.2959501558,148266.4166666667,154365.2959501558,148266.4166666667,160251.0,160251.0,,,
B1B860096,22446.0,7678.0,22446.0,7678.0,89212.85977482088,35780.85135135135,99177.0,99180.0,30427.844192634562,157262.90740740742,154052.0,157545.10837817064,0.0,0.0,154048.0,149424.0,154052.0,154052.0,154572.68535825546,142531.0170940171,154572.68535825546,142531.0170940171,154052.0,154052.0,,,
B1B860097,21095.0,8580.0,21132.0,8580.0,83696.82702149438,38485.52702702703,93625.0,93625.0,24828.110481586402,136441.21296296298,158580.0,162175.7801691007,157441.0,104893.0,159355.0,107763.0,158580.0,158580.0,117743.58878504674,146720.38461538462,117743.58878504674,146720.38461538462,158580.0,158580.0,,,
B1B860098,18963.0,8094.0,18984.0,8094.0,83181.66223132037,38987.48648648649,95044.0,95044.0,22744.475920679888,133073.9537037037,158094.0,161678.7601844735,160111.0,77240.0,157651.0,83256.0,158094.0,158094.0,107569.85669781933,146270.73076923078,107567.52647975078,146270.73076923078,158094.0,158094.0,,,
B1B860099,20838.0,10846.0,20853.0,10846.0,90956.60184237463,41757.12162162162,101205.0,101209.0,26142.478753541076,158580.72222222222,160846.0,164493.16141429672,156841.0,151431.0,159562.0,104250.0,160846.0,160846.0,133099.72585669783,148816.9188034188,133097.3956386293,148816.9188034188,160846.0,160846.0,,,
B1B860100,21897.0,8776.0,21897.0,8776.0,85941.77277379735,35940.29729729729,98339.0,98346.0,28258.371104815862,156053.07407407407,157269.0,160835.05342044582,0.0,0.0,0.0,0.0,157269.0,157269.0,143240.83489096575,145507.4294871795,143240.83489096575,145507.4294871795,157269.0,157269.0,,,
B1B860101,10419.0,10419.0,10419.0,10419.0,7273.037871033777,15382.10472972973,10419.0,10419.0,5696.507082152974,11480.194444444445,10419.0,10655.24942352037,0.0,0.0,0.0,0.0,10419.0,10419.0,24278.54205607477,9639.801282051283,24278.54205607477,9639.801282051283,10419.0,10419.0,,,
B1B860102,24759.0,11809.0,24759.0,11809.0,100938.09416581372,42201.50337837838,106028.0,106028.0,35791.38526912181,178289.5462962963,161809.0,165477.99730976173,158523.0,158523.0,161026.0,136665.0,161809.0,161809.0,167134.8909657321,149707.8995726496,167134.8909657321,149707.8995726496,161809.0,161809.0,,,
B1B860103,20114.0,9190.0,20118.0,9190.0,79699.76253838281,37604.145270270266,90777.0,90778.0,23446.492917847027,133503.67592592593,159190.0,162799.61183704843,161325.0,95134.0,160803.0,80068.0,159190.0,159190.0,116683.33956386294,147284.76495726497,116683.33956386294,147284.76495726497,159190.0,159190.0,,,
B1B860104,23780.0,10600.0,23780.0,10600.0,98572.3848515865,40421.02364864865,100576.0,100576.0,30526.257790368272,176957.40740740742,160600.0,164241.58339738662,160231.0,131343.0,158475.0,123895.0,160600.0,160600.0,159892.57320872275,148589.31623931625,159892.57320872275,148589.31623931625,160600.0,160600.0,,,
B1B860105,21389.0,8129.0,21389.0,8129.0,83852.49334698055,37109.56756756757,95144.0,95147.0,25339.314447592067,133075.05555555556,158129.0,161714.55380476557,161302.0,98855.0,160237.0,93943.0,158129.0,158129.0,114446.33021806854,146303.11324786325,114444.00000000001,146303.11324786325,158129.0,158129.0,,,
B1B860106,1867.0,1867.0,1867.0,1867.0,1303.2691914022519,2756.347972972973,1867.0,1867.0,1020.7677053824362,2057.1574074074074,1867.0,1909.3339738662569,1869.0,1869.0,1869.0,1869.0,1867.0,1867.0,4350.517133956387,1727.3739316239316,4350.517133956387,1727.3739316239316,1867.0,1867.0,,,
B1B860107,19501.0,8884.0,19505.0,8884.0,83548.83930399182,40577.51689189189,97937.0,97937.0,23678.31161473088,133176.42592592593,158884.0,162486.6733282091,160537.0,86398.0,158411.0,101614.0,158884.0,158884.0,101851.50155763241,147001.6495726496,101851.50155763241,147001.6495726496,158884.0,158884.0,,,
