ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1LH,MLG2LH,MLG3LH
B1B860098,19675.0,8250.0,19697.0,8250.0,85763.76867963152,40977.60810810811,106447.0,106448.0,22000.906515580737,132170.4351851852,167747.0,456879.9961568025,1.0,1.0,1.0,1.0,145796.0,184846.401650619,113374.42990654206,537000.4935897436,113374.42990654206,537000.4935897436,189924.25722145807,144699.0,,,
B1B860099,21102.0,10846.0,21118.0,10846.0,90333.23848515865,42415.57432432433,107158.0,107162.0,24416.960339943344,149321.86111111112,204721.0,589822.6152959262,1356866.0,133290.0,1395278.0,93325.0,189030.0,227271.45667125174,133710.24299065422,602291.8974358975,133707.9127725857,602291.8974358975,224842.8418156809,191059.0,,,
B1B860100,22284.0,8829.0,22284.0,8829.0,85299.56192425794,36586.93918918919,104333.0,104340.0,26352.97450424929,146704.96296296298,207268.0,587505.2340507302,0.0,0.0,0.0,0.0,186041.0,217553.5364511692,143793.09657320875,624352.6923076924,143793.09657320875,624352.6923076924,222025.7524071527,187390.0,,,
B1B860101,10419.0,10419.0,10419.0,10419.0,7273.037871033777,15382.10472972973,10419.0,10419.0,5696.507082152974,11480.194444444445,10419.0,10655.24942352037,0.0,0.0,0.0,0.0,10419.0,9014.513067400276,24278.54205607477,9639.801282051283,24278.54205607477,9639.801282051283,9014.513067400276,10419.0,,,
B1B860102,24113.0,12213.0,24113.0,12213.0,95464.64278403277,40747.29729729729,98090.0,98090.0,33913.32577903683,181470.59259259258,367569.0,1144384.4239046888,3854859.0,183991.0,3900044.0,131833.0,467823.0,315193.88995873457,152121.2959501558,949041.6282051282,152121.2959501558,949041.6282051282,322644.98762035766,467823.0,,,
B1B860103,20852.0,9448.0,20856.0,9448.0,82614.14329580349,39510.11486486487,101165.0,101166.0,22662.464589235125,132863.5,169656.0,451234.83089930826,1098390.0,112940.0,1053111.0,86487.0,147660.0,190359.45254470428,122418.0062305296,397869.63675213675,122418.0062305296,397869.63675213675,185376.76891334253,147628.0,,,
B1B860104,22918.0,10932.0,22918.0,10932.0,93715.31627430912,39107.07094594595,92617.0,92617.0,28708.886685552407,180044.7962962963,362387.0,1135821.567255957,3839590.0,123129.0,3888670.0,114918.0,466944.0,319609.8679504815,144904.61059190033,773416.6431623932,144902.2803738318,773416.6431623932,310990.7510316369,466913.0,,,
B1B860105,22215.0,8545.0,22215.0,8545.0,86499.5189355169,39177.935810810806,106639.0,106642.0,24391.26345609065,132413.94444444444,169472.0,458263.6752498079,48.0,48.0,48.0,48.0,144933.0,193049.35763411282,118328.47352024923,576687.5341880342,118326.1433021807,576687.5341880342,196593.2145804677,144931.0,,,
B1B860106,1867.0,1867.0,1867.0,1867.0,1303.2691914022519,2756.347972972973,1867.0,1867.0,1020.7677053824362,2057.1574074074074,1867.0,1909.3339738662569,1869.0,1869.0,1869.0,1869.0,1867.0,1615.327372764787,4350.517133956387,1727.3739316239316,4350.517133956387,1727.3739316239316,1615.327372764787,1867.0,,,
B1B860107,20232.0,9080.0,20237.0,9080.0,86118.38075742069,42679.84121621621,109687.0,109687.0,22857.651558073652,132485.5648148148,166536.0,457595.8685626442,0.0,0.0,0.0,0.0,146306.0,187700.69463548833,106647.09034267913,579378.0555555556,106647.09034267913,579378.0555555556,193283.8266850069,146626.0,,,
B1B860108,20157.0,10647.0,20176.0,10647.0,96492.18014329582,42362.42567567567,97489.0,97492.0,31309.192634560906,180526.30555555556,361607.0,1146313.1887009994,3953368.0,137674.0,4293780.0,156489.0,464380.0,310016.53645116923,131296.13707165112,954252.4316239316,131293.80685358256,954252.4316239316,310114.3039889959,469178.0,,,
B1B860109,21495.0,12136.0,21515.0,12136.0,89544.43602865917,43911.11824324324,105343.0,105343.0,31361.679886685553,151420.88888888888,208516.0,591474.2352036895,0.0,0.0,0.0,0.0,192119.0,226579.2971114168,139820.07476635516,566837.7094017094,139820.07476635516,566837.7094017094,228126.27372764787,188334.0,,,
B1B860110,21824.0,8276.0,21824.0,8276.0,83474.1473899693,37686.82094594595,100178.0,100179.0,21415.345609065156,132375.37962962964,167030.0,456611.0326671791,1094152.0,77587.0,1051797.0,82906.0,143731.0,189999.52957359012,123371.06542056076,535064.0213675214,123371.06542056076,535064.0213675214,189636.14580467678,143689.0,,,
B1B860111,26432.0,13490.0,26447.0,13490.0,97359.86284544524,44622.71959459459,91064.0,91064.0,28354.050991501415,182591.17592592593,362474.0,1138650.2859338971,33.0,33.0,33.0,33.0,470413.0,307215.8858321871,148679.56386292836,719418.3974358975,148679.56386292836,719418.3974358975,309438.58321870706,471506.0,,,
B1B860112,26057.0,12542.0,26140.0,12542.0,89040.44012282498,45777.22635135135,111293.0,111293.0,27626.337110481585,136496.30555555556,167821.0,461784.74481168337,1132317.0,80043.0,1102693.0,74442.0,147100.0,194904.34525447045,118605.769470405,550607.6111111111,118605.769470405,550607.6111111111,192288.84731774416,148573.0,,,
B1B860113,24426.0,12074.0,24503.0,12074.0,97255.15455475947,43794.48648648649,95509.0,95510.0,28372.093484419263,181389.05555555556,371961.0,1143381.179861645,3897077.0,182245.0,3781344.0,130309.0,469208.0,323461.7359009629,144221.85669781934,765574.5320512821,144221.85669781934,765574.5320512821,319217.9325997249,469319.0,,,
B1B860114,4045.0,4045.0,4045.0,4045.0,2823.633572159673,5971.841216216216,4045.0,4045.0,2211.57223796034,4456.990740740741,4045.0,4136.719830899308,4732.0,4732.0,4986.0,4986.0,4045.0,3499.731774415406,9425.732087227416,3742.4893162393164,9425.732087227416,3742.4893162393164,3499.731774415406,4045.0,,,
B1B860115,20885.0,12486.0,20891.0,12486.0,88278.16376663256,45412.56756756757,111669.0,111672.0,24477.648725212464,137850.4814814815,174980.0,462637.65564950043,0.0,0.0,0.0,0.0,150294.0,196234.15680880332,137016.82242990655,529663.5491452991,137016.82242990655,529663.5491452991,194151.62173314995,151834.0,,,
B1B860116,6896.0,6896.0,6896.0,6896.0,4813.789150460594,10180.918918918918,6896.0,6896.0,3770.3342776203967,7598.37037037037,6896.0,7052.365872405842,7217.0,7217.0,7615.0,7615.0,6896.0,5966.415405777167,16069.183800623056,6380.273504273505,16069.183800623056,6380.273504273505,5966.415405777167,6896.0,,,
B1B860117,21402.0,11146.0,21410.0,11146.0,88056.18219037872,45065.625,108673.0,108680.0,20403.325779036826,134681.55555555556,165939.0,459988.9277478863,1135426.0,88872.0,1116352.0,72290.0,148685.0,192945.53370013757,110557.19626168226,518499.92094017094,110554.86604361371,518499.92094017094,189341.9779917469,149618.0,,,
B1B860118,20284.0,9667.0,20303.0,9667.0,89345.4902763562,41450.04054054054,102715.0,102715.0,25155.062322946174,148584.72222222222,208792.0,588431.7774788624,0.0,0.0,1403667.0,118783.0,189807.0,226101.7070151307,135709.57009345797,599378.3995726496,135709.57009345797,599378.3995726496,223873.818431912,190503.0,,,
B1B860119,19647.0,8915.0,19655.0,8915.0,83714.27840327534,37827.07432432433,107437.0,107437.0,24744.458923512746,133693.19444444444,171826.0,459353.8466564182,1099139.0,94383.0,1139000.0,87300.0,144979.0,194249.38927097662,113973.29595015578,554393.5854700855,113970.96573208724,554393.5854700855,189757.27372764787,146394.0,,,
B1B860120,22486.0,10145.0,22487.0,10145.0,95939.32036847493,41457.42229729729,96857.0,96857.0,28638.356940509915,181819.87962962964,366818.0,1144730.0880092238,3834472.0,151504.0,4064119.0,180077.0,469961.0,321027.9298486933,146976.17445482867,896378.4658119659,146976.17445482867,896378.4658119659,311943.33562585973,464831.0,,,
B1B860121,23120.0,12874.0,23120.0,12874.0,92121.65609007166,38955.00675675675,97430.0,97433.0,33639.40793201133,182606.60185185185,372412.0,1146032.9757878557,3803557.0,186962.0,3929946.0,169095.0,470312.0,330578.86657496565,145529.10903426792,881674.0448717949,145529.10903426792,881674.0448717949,323499.8046767538,470347.0,,,
B1B860122,21212.0,8384.0,21215.0,8384.0,82362.14534288639,37890.55743243243,108130.0,108131.0,22929.82152974504,132109.83333333334,168700.0,456508.7651806303,1181951.0,103146.0,1075898.0,93429.0,144835.0,193104.7303988996,128951.93769470406,509438.37820512825,128951.93769470406,509438.37820512825,187028.43466299862,143467.0,,,
